text,category
I was charged the wrong exchange rate on a purchase,Negative Customer Experience
Can you change the rate for the item I bought in a different currency as it is wrong?,Negative Customer Experience
The currency exchange for my purchase in foreign currency is incorrect.,Negative Customer Experience
I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,Negative Customer Experience
My foreign currency exchange has been applied incorrectly.,Negative Customer Experience
Why isn't my purchase exchange rate correct?,Negative Customer Experience
I noticed that the exchange rate applied to a recent purchase I made abroad was incorrect.,Negative Customer Experience
"I purchased something while traveling, and the exchange rate applied was wrong.",Negative Customer Experience
Why is the exchange rate different on my recent purchase?,Negative Customer Experience
The fee charged when I changed rubles into British pounds was too much.,Negative Customer Experience
I wasn't charged the correct exchange rate for an item I purchased.,Negative Customer Experience
Does the fee for exchange change?,Negative Customer Experience
The rate applied to my purchase in a foreign currency was wrong.,Negative Customer Experience
"I bought something while traveling, and the exchange rate was wrong.",Negative Customer Experience
something is wrong with my exchange rate charge,Negative Customer Experience
Seems like the exchange rate for my payment last Saturday was wrong. I was charged extra.,Negative Customer Experience
It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,Negative Customer Experience
I bought an item then noticed the exchange rate was wrong.,Negative Customer Experience
The exchange rate applied is wrong for my international purchase.,Negative Customer Experience
My card payment had the wrong exchange rate,Negative Customer Experience
They used the wrong rate when I made a purchase with foreign currency.,Negative Customer Experience
Does the exchange rate change each day for purchases? There is a different rate on my purchase.,Negative Customer Experience
It seems that the rate I got is incorrect.,Negative Customer Experience
I exchanged Russian rubles for British pounds today and got less than I expected. Was exchange rate correct?,Negative Customer Experience
Was I charged more than I should of been for a currency exchange?,Negative Customer Experience
What do i do if the exchange rate was wrong for the item i bought overseas?,Negative Customer Experience
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,Negative Customer Experience
I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange.,Negative Customer Experience
What is your exchange rate between UK pounds and Russian rubles for my last transaction,Negative Customer Experience
I think there was an error in your exchange rate.,Negative Customer Experience
The exchange rate was not correct for the item I bought.,Negative Customer Experience
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,Negative Customer Experience
My exchange seems to have something wrong with it. I changed over Russian Ruble to UK pounds and it appears I was charged way more than I was supposed to be.,Negative Customer Experience
The correct exchange rate wasn't given to me for an item I purchased.,Negative Customer Experience
"I bought something in another currency, but the exchange rate was incorrect.",Negative Customer Experience
the exchange rate is wrong from something I got in another country,Negative Customer Experience
"The exchange rate given to me after a purchase, was incorrect",Negative Customer Experience
My card payment has the wrong exchange rate,Negative Customer Experience
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,Negative Customer Experience
Why is the exchange rate different from what I expected?,Negative Customer Experience
The exchange rate you are using is really bad.This can't be the official interbank exchange rate.,Negative Customer Experience
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,Negative Customer Experience
Why was I charged extra on my last UK pound to Russian ruble exchange?,Negative Customer Experience
The wrong exchange rate was used when I purchased an item.,Negative Customer Experience
Why was the wrong rate applied when I bought something in a different currency?,Negative Customer Experience
I bought something abroad and the exchange rate applied is wrong,Negative Customer Experience
An item I bought had the wrong exchange rate applied.,Negative Customer Experience
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,Negative Customer Experience
Why was my exchange rate a different amount than usual?,Negative Customer Experience
I want to change the wrong exchange rate.,Negative Customer Experience
I recently bought something abroad but the exchange rate is incorrect. Why?,Negative Customer Experience
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",Negative Customer Experience
I did not receive the correct amount for the exchange rate.,Negative Customer Experience
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",Negative Customer Experience
The exchange rate for my payment last Saturday must be wrong because I was charged extra.,Negative Customer Experience
Are you sure this is the interbank exchange rate? This rate is really bad.,Negative Customer Experience
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,Negative Customer Experience
I believe you charged me too much to exchange my money,Negative Customer Experience
"I changed the currency, but why is it costing more?",Negative Customer Experience
Why was the exchange wrong for the item I purchased?,Negative Customer Experience
"I made an international purchase, but the exchange rate was wrong",Negative Customer Experience
My purchase used the wrong exchange rate,Negative Customer Experience
"I have been charged to much for the object I bought when abroad, the exchange rate seems to be wrong.",Negative Customer Experience
I made a purchase and was charged at the wrong foreign exchange rate.,Negative Customer Experience
I think that the exchange rate was wrong for the payment made last Saturday - I was charged extra.,Negative Customer Experience
Why is the exchange rate for my payment incorrect?,Negative Customer Experience
Your foreign exchange rate is wrong.,Negative Customer Experience
It looks like the exchange rates on my card payment are wrong,Negative Customer Experience
There's an error with the rate that is charged.,Negative Customer Experience
I bought an item at the wrong exchange rate.,Negative Customer Experience
I think the exchange rate on my card payment is incorrect.,Negative Customer Experience
I bought an item that I was charged a different exchange rate for.,Negative Customer Experience
I am not receiving the correct exchange rate on my card.,Negative Customer Experience
When I purchased a product in another country the currency exchange was incorrect.,Negative Customer Experience
The exchange rate used on your app is really bad. I'm considering closing my account because of it.,Negative Customer Experience
I think I was charged extra on my payment on last Saturday.  Maybe the exchange rate was wrong?  I'd like a refund.,Negative Customer Experience
I received the wrong exchange rate for an item i bought.,Negative Customer Experience
Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,Negative Customer Experience
I don't think the charges made when I had currency exchanged are right.,Negative Customer Experience
Why am I being charged the wrong currency exchange when I purchased something abroad?,Negative Customer Experience
The exchange rate for my card payment doesn't seem right.,Negative Customer Experience
"When I bought something abroad, the exchange rate was wrong.",Negative Customer Experience
I didn't receive the correct exchange rate for an item that I bought.,Negative Customer Experience
Why is the exchange rate on my card wrong?,Negative Customer Experience
I am being charged the wrong amount on my card.,Negative Customer Experience
The exchange rate is incorrect on an item I recently purchased in a foreign country.,Negative Customer Experience
The exchange rate is incorrect for something I bought,Negative Customer Experience
My payment had a wrong exchange rate.,Negative Customer Experience
The exchange rate for my electronic payment is incorrect.,Negative Customer Experience
Why was I charged a higher exchange rate when I bought something abroad?,Negative Customer Experience
Why didn't I receive the correct exchange rate for an item that I purchased?,Negative Customer Experience
Why is the exchange rate on my card payment different than I expected?,Negative Customer Experience
My rate of exchange was wrong.,Negative Customer Experience
I recently bought something in foreign currency and I am unsure of the exchange rate. Is this rate applied correctly?,Negative Customer Experience
I purchased something abroad but the exchange rate is incorrect.,Negative Customer Experience
A foreign purchase I made has the incorrect rate applied to it.,Negative Customer Experience
"When I was traveling abroad, the exchange rate was applied wrong.",Negative Customer Experience
There's an error in regards to the exchange rate for an item I bought.,Negative Customer Experience
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",Negative Customer Experience
The exchange rate is bad. Are you sure this is the exchange rate?,Negative Customer Experience
I purchased an item and the exchange rate was wrong,Negative Customer Experience
Exchange rate on a purchase was incorrect,Negative Customer Experience
"I'm going on a trip soon and I needed to convert my Russian ruble to UK pounds, but when I did, your company charged me above the exchange rate. Did you mess up my transaction?",Negative Customer Experience
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,Negative Customer Experience
The exchange rate that was applied for an international purchase was wrong.,Negative Customer Experience
"Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me?",Negative Customer Experience
Why am I being charged more on exchange with things I bought abroad?,Negative Customer Experience
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",Negative Customer Experience
I made a purchase but the exchange rate is wrong?,Negative Customer Experience
Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate?,Negative Customer Experience
I would like to know why a withdraw I made for some cash shows up as pending.,Usage Issue
Why is my cash withdrawal still showing as pending?,Usage Issue
"I have the cash already, my account still shows up as pending.  How can my account be still pending?",Usage Issue
I tried to get cash out of the ATM but it is taking too long,Usage Issue
Why is the cash withdrawal under pending?,Usage Issue
What does it mean if my cash withdrawal does not show up properly?,Usage Issue
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",Usage Issue
Why is my ATM withdrawal still pending?,Usage Issue
Is the cash withdrawal going to show?,Usage Issue
"Cash withdrawal has been pending, why is it so?",Usage Issue
My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,Usage Issue
How long does it take to verify a cash withdraw?,Usage Issue
"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",Usage Issue
Why has my withdrawal not posted?,Usage Issue
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",Usage Issue
Why is the cash withdraw I made shown as pending?,Usage Issue
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",Usage Issue
Should my cash withdrawal still be pending?,Usage Issue
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",Usage Issue
There should be a cash withdrawal that I haven't seen yet.,Usage Issue
Why is the app showing a still pending message on a withdraw that has already been done?,Usage Issue
Why is my cash withdrawal still pending?,Usage Issue
"If my cash withdrawal is still not showing, is something wrong?",Usage Issue
I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,Usage Issue
I made a cash withdrawal at an ATM but it still says pending in my account.,Usage Issue
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,Usage Issue
Why hasn't my withdrawal shown on my statement?,Usage Issue
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,Usage Issue
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,Usage Issue
I tried to withdraw cash at an ATM in the city center but my card was declined. The transaction is still showing up as pending - please cancel it!,Usage Issue
How long does it take for a cash withdrawal to show?,Usage Issue
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",Usage Issue
Why is my cash withdrawal pending?,Usage Issue
I withdrew cash but it still shows as pending?,Usage Issue
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",Usage Issue
I got some cash in the ATM but its still pending,Usage Issue
"So much time has gone by, the pending status shouldn't still be there shouldn't it?",Usage Issue
Do you know when the withdrawal will show?,Usage Issue
How long will my cash withdrawal take,Usage Issue
Why do I still have a pending cash withdrawal?,Usage Issue
I have a withdrawal waiting to go through.,Usage Issue
How long does it take for a pending cash withdrawal?,Usage Issue
I took out some cash from the ATM but it is still showing the transaction is pending.,Usage Issue
How are cash withdrawals pending?,Usage Issue
"I went to an ATM to get cash, but the app says the withdrawal is still pending. How is that possible when I already have the cash with me?",Usage Issue
My cash withdrawal isnt showing on my account,Usage Issue
What does pending mean on a cash withdrawal?,Usage Issue
I'm expecting to see a cash withdrawal but I'm still waiting.,Usage Issue
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",Usage Issue
How long does it take for cash withdrawals to hit my account?,Usage Issue
Can you explain to me why a cash withdrawal shows up as pending?,Usage Issue
The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why?,Usage Issue
"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",Usage Issue
I made a deposit in the ATM and it has not cleared,Usage Issue
withdrawal pending meaning?,Usage Issue
What does it mean to have a pending cash withdrawal?,Usage Issue
I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,Usage Issue
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",Usage Issue
How long before I can see that my cash withdrawal has taken place?,Usage Issue
"My cash withdrawal shows pending, why?",Usage Issue
My account says I have money but I withdrew it in cash.,Usage Issue
How do I get my cash withdrawal to show?,Usage Issue
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,Usage Issue
"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",Usage Issue
How long does it typically take for a pending ATM withdrawal to clear?,Usage Issue
My cash withdrawal shows as pending still.,Usage Issue
i withdrew cash and dont see it reflected on the balance,Usage Issue
When will my cash withdrawal show/,Usage Issue
"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",Usage Issue
Looking at my account I've noticed a charge that appears to still be in progress. I had attempted to get money out of the machine earlier but the machine seemed to have been broken. I never received my money so will you please look into this for me? I don't want to be charged for money I never actually received.,Usage Issue
What is a pending cash withdrawal?,Usage Issue
When will a cash withdrawal show up?,Usage Issue
"Hi, I tried to withdraw some money from an ATM and the machine was broken.  It says that the transaction is still in progress.  Can you double check to see what's happening? I don't want to be charged since I was not able to withdraw the money.",Usage Issue
My ATM withdrawal is taking forever,Usage Issue
What does it mean when a cash withdrawal is pending?,Usage Issue
how long will my cash withdrawal be pending for?,Usage Issue
Why is my withdrawl to cash still pending?,Usage Issue
Why is the pending status on my cash withdrawal taking so long?,Usage Issue
There is a pending transaction on my account for when I tried to get money from the ATM earlier and it did not work. Can you fix this?,Usage Issue
The cash I got at the ATM is still in my account.,Usage Issue
How long will it take for my cash withdrawal to stop pending,Usage Issue
I'm concerned because my cash withdrawal is pending.,Usage Issue
What is the reason my cash withdrawal is still pending?,Usage Issue
How long will it take for my cash withdrawal to no longer show as pending?,Usage Issue
How long until I see a cash withdrawal?,Usage Issue
my cash out is still pending,Usage Issue
Why does it still charge me even though I was unable to withdraw money from the ATM?,Usage Issue
What does it mean if my cash withdrawal is pending?,Usage Issue
Why is a transaction still pending?,Usage Issue
I am not seeing recent cash withdrawal on my account.,Usage Issue
What does a pending cash withdrawal mean?,Usage Issue
"I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make.",Usage Issue
How long will a cash withdrawal be pending?,Usage Issue
"If I have already completed a cash withdrawal at an ATM, is it normal for it to show as a pending transaction on the app?",Usage Issue
Why does a cash withdrawal show as pending?,Usage Issue
Why would a cash withdrawal still be pending?,Usage Issue
Explain pending transactions.,Usage Issue
How is my ATM deposit not available yet?,Usage Issue
"My cash withdrawal is showing as pending, why?",Usage Issue
"I withdrew some cash, when is it going to show?",Usage Issue
Can you let me know why my cash withdrawal is still pending?,Usage Issue
I made a cash withdrawal and it is still listed as a pending transaction.,Usage Issue
"my cash withdrawal is pending, why?",Usage Issue
"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",Usage Issue
"I've been waiting for 3 days, why is my withdrawal still pending?",Usage Issue
"I removed cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",Usage Issue
How long will my ATM withdrawal be pending?,Usage Issue
Is there any reason my cash withdrawal still shows as pending?,Usage Issue
Its been several days and my cash withdrawal is still pending. Why?,Usage Issue
My account says a withdrawal is pending - why can't I take cash out of the ATM?,Usage Issue
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",Usage Issue
"My cash withdrawal says pending, why?",Usage Issue
Why is my cash still pending that I put in ATM?,Usage Issue
In my account I noticed my ATM withdrawal is still pending,Usage Issue
Please cancel the latest ATM charge on my card as my card was declined earlier today and I did not receive that cash.,Usage Issue
"My withdrawal is pending, why?",Usage Issue
Why does my account show as pending a cash withdrawal from the ATM that I have already made?,Usage Issue
"I have a cash withdrawal that says it's pending, why?",Usage Issue
I took out money from the ATM and it's still showing as pending?,Usage Issue
Why would a cash withdrawal be pending?,Usage Issue
Why is the cash transaction still showing as not completed?,Usage Issue
Why is my withdrawal from the ATM still showing as pending?,Usage Issue
The cash I deposited using the ATM is still pending,Usage Issue
"I tried to withdraw money, but was unable to. Still says that the transaction is pending? Will this money disappear??",Usage Issue
There is a withdrawal waiting.,Usage Issue
Can you please tell me why my cash withdrawal is still pending?,Usage Issue
My atm withdraw is stillpending,Usage Issue
"I Withdrew cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I received the cash already?",Usage Issue
"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",Usage Issue
I made a cash withdraw and it shows up as pending why is that?,Usage Issue
My last ATM request did not go through due to a declined card. Please cancel the request on my account.,Usage Issue
What should I do if I see a withdrawal is pending?,Usage Issue
My balance is not what I thought it was following an ATM withdrawal,Usage Issue
"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",Usage Issue
"Hello, I tried to take out some money out of the ATM, but it's still showing that it's pending? I really don't want to be charged for this.",Usage Issue
how long until a cash withdrawal will show on my account,Usage Issue
When will the cash that I put in the ATM be cleared from pending status?,Usage Issue
"My card was declined and I did not receive money from the ATM earlier, yet it show on my account that it is pending.",Usage Issue
I pulled cash from the ATM earlier. Why is it still pending if I already have the cash?,Usage Issue
my cash withdrawal has not come out of my account yet.,Usage Issue
"I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amount pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal.",Usage Issue
Why has my deposit in the ATM not cleared yet?,Usage Issue
why isnt my cash withdrawal showing,Usage Issue
I can't use my card because it is not working.,Negative Customer Experience
I can't seem to be able to use my card,Negative Customer Experience
"My card isn't working at all, I need assistance. It's really frustrating.",Negative Customer Experience
Can you tell me what the problem with my card is? It was declined at a restaurant today.,Negative Customer Experience
How do I fix a broken card?,Negative Customer Experience
My card was working but now it doesn't.,Negative Customer Experience
I cannot seem to use my card.,Negative Customer Experience
I think my card is broke it's not working anymore,Negative Customer Experience
I have not been able to use this card.,Negative Customer Experience
What do I do if i accidentally broke my card?,Negative Customer Experience
How come my card doesn't work anymore?,Negative Customer Experience
"For a week now, I have tried to use my card and it is still not working.",Negative Customer Experience
My actual card isn't functioning.,Negative Customer Experience
I can't get the card itself to work.,Negative Customer Experience
What should I do if my card doesn't work?,Negative Customer Experience
Why won't my card work.,Negative Customer Experience
My card will not work,Negative Customer Experience
My card is not working.,Negative Customer Experience
HOW LONG THE CARD VALIDITY,Negative Customer Experience
My card seems to not be working at all.,Negative Customer Experience
My card gets rejected when I try to use it,Negative Customer Experience
I am unable to use my card for some reason.,Negative Customer Experience
Why can't I use my card?,Negative Customer Experience
I think my card is broke?,Negative Customer Experience
What do I do?  My card is broken.,Negative Customer Experience
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",Negative Customer Experience
My card was declined at a restaurant today and I don't know what the problem is.,Negative Customer Experience
WHAT IS THE REASON FOR THAT,Negative Customer Experience
My card is not working when I try to use it.,Negative Customer Experience
How do I check security settings on my card?,Negative Customer Experience
My card isn't working at all. What happened?,Negative Customer Experience
Today I was out eating and my card was declined. Why's that?,Negative Customer Experience
What are ways to test why my card might not be working?,Negative Customer Experience
Currently my card is broken.,Negative Customer Experience
My card won't work at all for anything.,Negative Customer Experience
How do I fix my card if it is broken?,Negative Customer Experience
Why doesn't my card work for any transactions?,Negative Customer Experience
"I tried using my card, but it doesn't work.",Negative Customer Experience
My card hasn't been working for even small transactions today.,Negative Customer Experience
What do I do if the machine rejects my card?,Negative Customer Experience
Something's wrong my card won't work.,Negative Customer Experience
I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,Negative Customer Experience
"Suddenly, my card won't work.",Negative Customer Experience
My card hasn't been working when I try to use it.,Negative Customer Experience
My physical card is not working,Negative Customer Experience
"
I can't seem to be able to use my card


",Negative Customer Experience
Why is my physical card not working?,Negative Customer Experience
Help.  My card is broken.,Negative Customer Experience
I am unable to use my card.,Negative Customer Experience
"No transactions are being accepted, what's wrong with my card?",Negative Customer Experience
Is my card frozen?,Negative Customer Experience
My card was declined at a restaurant today and I am not sure why.,Negative Customer Experience
What do I do now that I can't use this card?,Negative Customer Experience
My card doesn't seem to work anymore,Negative Customer Experience
"Out of the blue, my card stopped working.",Negative Customer Experience
I can't seem to use my card. Can you help?,Negative Customer Experience
How do I re-order a damaged card?,Negative Customer Experience
Why is my card not working anymore?,Negative Customer Experience
I can't use my card for anything,Negative Customer Experience
What's wrong with my card? The clerk at the grocery store said it was declined.,Negative Customer Experience
What should I do if I can't use my card?,Negative Customer Experience
Can I use app to reset PIN attempts?,Negative Customer Experience
Please help.  The card won't work.,Negative Customer Experience
I wasn't able to use my card today when I went out for lunch. Wondering why that is?,Negative Customer Experience
My card doesn't seem to work.,Negative Customer Experience
Currently I can't get my card to work.,Negative Customer Experience
WHAT IS THE MAIN REASON OF THIS PROBLEM,Negative Customer Experience
How do I get my card to work?,Negative Customer Experience
What can I do to make my physical card work?,Negative Customer Experience
Can you tell me why I can't make any transactions?,Negative Customer Experience
There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,Negative Customer Experience
Can you tell me whats going on with my card it seems to be not working?,Negative Customer Experience
How do I check security settings using the app?,Negative Customer Experience
I tried using my card at multiple vendors and now it's not working.,Negative Customer Experience
"Can you help me with my card, I think it's broke.",Negative Customer Experience
The card is non-functional.,Negative Customer Experience
I haven't been able to complete any transactions on my card today. Do you know what's wrong?,Negative Customer Experience
Today I used my card at a restaurant and it was declined. Why?,Negative Customer Experience
Did you deactivate my card it's not working anymore,Negative Customer Experience
Need help to get my card to work.,Negative Customer Experience
Why isn't my card working anymore?,Negative Customer Experience
Why won't my card work anymore?,Negative Customer Experience
Why won't the machine accept my card anymore?,Negative Customer Experience
When I was in a restaurant today my card was declined and payment wouldn't go through and I need help. Can you fix this?,Negative Customer Experience
What to do if my physical card is not working?,Negative Customer Experience
My card stopped working after multiple transactions. Why?,Negative Customer Experience
Why won't my card accept any transactions?,Negative Customer Experience
"I think my card is broken or something. I tried using it and it wouldn't go through, please help.",Negative Customer Experience
My card is broken,Negative Customer Experience
I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account?,Negative Customer Experience
My card no longer works.,Negative Customer Experience
I seem to be unable to make any transactions.,Negative Customer Experience
I can't get my actual card to work,Negative Customer Experience
My card doesn't work when I use it.,Negative Customer Experience
What do I do if my card gets broken?,Negative Customer Experience
I am having problems with my physical card.,Negative Customer Experience
How can I get my card to work?,Negative Customer Experience
I need help with understanding why my card is not working.,Negative Customer Experience
Please help me!  My physical card isn't working right.,Negative Customer Experience
My card stopped working. How do I check if there is a freeze on it?,Negative Customer Experience
"I don't know what's wrong with my card, but it has not worked at multiple places today.",Negative Customer Experience
I need clarity on why my card is not working.,Negative Customer Experience
My card won't physically work.,Negative Customer Experience
What's going on? My card wont accept any transactions.,Negative Customer Experience
My card don't work.,Negative Customer Experience
My card won't work right now.,Negative Customer Experience
How can it be that my Card is not functioning anymore?,Negative Customer Experience
What's going on with my card? I've tried multiple times and it never goes through.,Negative Customer Experience
HOW LONG TO TAKE THE TIME TO SOLVE,Negative Customer Experience
What do I do if my card is not working?,Negative Customer Experience
What should I do if my physical card isn't working?,Negative Customer Experience
The card that I have isn't working. This is the physical card.,Negative Customer Experience
Has there been any activity on my card today?,Usage Issue
I lost my wallet and all my cards were in it.,Usage Issue
I'm panicking!  I lost my card!  Help!,Usage Issue
I need to report a stolen card,Usage Issue
How do I replace a stolen card?,Usage Issue
Can you provide information for freezing my card immediately?,Usage Issue
